title,doi,abstract
Anxiety and error monitoring: increased error sensitivity or altered expectations?,[],"This study tested the prediction that the error-related negativity (ERN), a physiological measure of error monitoring, would be enhanced in anxious individuals, particularly in conditions with threatening cues. Participants made gender judgments about faces whose expressions were either happy, angry, or neutral. Replicating prior studies, midline scalp negativities were greater following errors than following correct responses. In addition, state anxiety interacted with facial expression to predict ERN amplitudes. Counter to predictions, participants high in state anxiety displayed smaller ERNs for angry-face blocks and larger ERNs for happy-face blocks, compared to less anxious participants. These results are inconsistent with the simple notion that anxiety enhances error sensitivity globally. Rather, we interpret the findings within an expectancy violation framework, in which anxious participants have altered expectations for success and failure in the context of happy and angry facial cues, with greater ERN amplitudes when expectations are violated."
Computational Evidence for Underweighting of Current Error and Overestimation of Future Error in Anxious Individuals,[],"Background:                         Real-time control of goal-directed actions requires continuous adjustments in response to both current error (i.e., distance from goal state) and predicted future error. Proportion-integral-derivative control models, which are extensively used in the automated control of industrial processes, formalize this intuition. Previous computational approaches to anxiety have separately addressed behavioral inhibition and exaggerated error processing, but a proportion-integral-derivative control approach that decomposes error processing into current and anticipated error could integrate these accounts and extend them to a real-time sensorimotor control domain."
Combining fMRI during resting state and an attention bias task in children,[],"Neuroimaging studies typically focus on either resting state or task-based fMRI data. Prior research has shown that similarity in functional connectivity between rest and cognitive tasks, interpreted as reconfiguration efficiency, is related to task performance and IQ. Here, we extend this approach from adults to children, and from cognitive tasks to a threat-based attention task. The goal of the current study was to examine whether similarity in functional connectivity during rest and an attention bias task relates to threat bias, IQ, anxiety symptoms, and social reticence. fMRI was measured during resting state and during the dot-probe task in 41 children (M = 13.44, SD = 0.70). Functional connectivity during rest and dot-probe was positively correlated, suggesting that functional hierarchies in the brain are stable. Similarity in functional connectivity between rest and the dot-probe task only related to threat bias (puncorr < .03). This effect did not survive correction for multiple testing. Overall, children who allocate more attention towards threat also may possess greater reconfiguration efficiency in switching from intrinsic to threat-related attention states. Finally, functional connectivity correlated negatively across the two conditions of the dot-probe task. Opposing patterns of modulation of functional connectivity by threat-congruent and threat-incongruent trials may reflect task-specific network changes during two different attentional processes."
Insight across mental disorders: A multifaceted metacognitive phenomenon,[],"There is now general agreement that lack of insight is not merely a fundamental aspect of delusions and hallucinations, or just a symptom of psychotic disorders but rather a multi-dimensional construct. Several different components of insight have been proposed and empirically examined during the last three decades, such as the ability to recognize that one has a mental illness, the capacity to relabel unusual mental events as pathological, the specific attribution of one's symptoms to having a mental illness, awareness of illness' consequences, and compliance with treatment.1 Insight impairment is an important prognostic factor in schizophrenia, impacting negatively on medication adherence, treatment outcome, and social functioning.2 Although largely investigated in schizophrenia and other psychoses, insight impairments are observed in many, if not all, mental disorders. Varying levels of awareness of mental illness and/or of specific symptoms are expected in patients with bipolar disorders, Alzheimer disease and other neurocognitive disorders, obsessive-compulsive (OCD) and related disorders.1,3 While in DSM-5 an ""insight"" specifier was incorporated for OCD, body dysmorphic and hoarding disorder, patients' insight has been found ranging from good to absent in other disorders, such as depressive disorders,4 eating disorders,5 and even specific6 and social7 phobias. Moreover, impaired insight is a common reason that many people with clinical depression or anxiety disorders never seek appropriate treatment and most of the people with addictions and personality disorders fail to recognize and address their problems even when the consequences are devastating: personal suffering, broken relationships, and physical health problems. Depending on the disorder and reflecting different conceptual approaches, many different terms are used to describe lack of insight, such as poor self-awareness, denial, anosognosia (mainly in neurological deficits, e.g. hemiplegia), ego-syntonic symptoms, or even self-deception. At any rate, as an aspect of self-knowledge, insight has psychological (defense mechanisms, coping strategies), social and cultural facets. On the other hand, the attitudes and behaviours towards one's illness are products of inference processes and therefore can be influenced by cognitive dysfunctions. Previous research in schizophrenia showed correlations between neurocognitive functions and insight measures but the strength of this association is rather weak.8 Social cognition may be a crucial cognitive determinant of impaired insight in schizophrenia. The correct attitude toward morbid change in oneself relies on the capacity to reflect upon self from the perspective of the other (i.e., ""to see ourselves as others see us""). This capacity is clearly linked to the ability to understand mental states (e.g., beliefs, knowledge, and intentions) of others, that is, theory of mind or mentalizing. Recent research has shown that mentalizing deficits may substantially contribute to insight impairment in schizophrenia.9 This effect could be further examined in the broader context of patient's failures in metacognition, i.e. the general ability to think about thinking, and their relationships with insight impairment in schizophrenia. Mentalizing and introspection are closely related developmentally and it is yet unclear which one is the primary ability: we are able to understand others and then apply this understanding to ourselves or we are able to reflect on ourselves and then apply this reflection to others. A recent line of research in schizophrenia is based on the distinction introduced by Beck et al10 between clinical insight (i.e., awareness of illness) and cognitive insight, which describes a metacognitive ability, specifically patients' flexibility towards their beliefs, judgements and experiences. The self-report Beck Cognitive Insight Scale (BCIS) examines two subcomponents: self-certainty, assessing overconfidence about being right (e.g. ""I know better than anyone else what mycomponents: self-certainty, assessing overconfidence about being right (e.g. ""I know better than anyone else what my problems are""), and self-reflectiveness, assessing willingness to accept external feedback and recognition of dysfunctionalreasoning style (e.g. ""Some of the ideas I was certain were true turned out to be false""). Cognitive insight in thisform describes two related but distinct aspects of metacognition in patients with psychosis, differentially associated withclinical insight, symptoms, treatment outcomes, and functioning.11 Another method for assessment of similar metacognitiveskills also used in schizophrenia is a scale (Metacognition Assessment Scale - Abbreviated, MAS-A) that is administeredthrough a specific interview and examines the capacities of self-reflectivity, understanding of the other individuals'mental states, and using metacognitive knowledge to respond to psychosocial challenges. Lysaker and colleaguesfound recently that metacognitive deficits assessed with MAS-A predict impaired insight in schizophrenia independentof symptoms.12 It is questionable whether BCIS and other methods used so far to assess self-reflection in psychoses arevalid and useful for patients with non-psychotic disorders.11 However, the metacognitive conceptualization of insightmight contribute to a new research framework for insight impairments across mental disorders. According to this approach, poor insight is in part a failure of self-reflection, i.e. the process by which we synthesizeand comprehend ideas about ourselves. This may be due to general deficits in metacognitive abilities (self-reflectivity,mentalizing) or may represent limited, domain-specific, or transient dysfunctions in metacognitive processes. Insight hasto be thought of as a relational concept, that is insight into something: insight into illness, current syndrome, specificsymptoms, pathological personality traits, social difficulties etc.1,3 In an integrated model of insight across mental disorders,aspects of metacognition interacting with multiple other (clinical, neurocognitive, emotional, and social) factorsdetermine patient's ability to correctly process information into self-awareness. The identification of these factors andtheir interactions may be a fruitful field in the research of insight."
The error-related negativity (ERN) moderates the association between interpersonal stress and anxiety symptoms six months later,[],"Anxiety disorders are often preceded by interpersonal stress; however, most individuals who experience stress do not develop anxiety, making it difficult to predict who is most susceptible to stress. One proposed trans-diagnostic neural risk marker for anxiety is the error-related negativity (ERN), a negative deflection in the event-related potential waveform occurring within 100 ms of error commission. The present study sought to investigate whether interpersonal stress experienced over the course of a year interacts with ERN magnitude to prospectively predict anxiety symptoms. A sample of 57 emerging adults performed an arrow flanker task to elicit the ERN at the start of the academic school year (time one). Toward the end of the academic year (time two), participants reported on past-year interpersonal stress and anxiety symptoms. Stress interacted with ERN magnitude to predict anxiety symptoms, whereby, for individuals with an enhanced ERN at time one, greater interpersonal stress over the course of a year was significantly associated with increased anxiety symptoms at time two, even controlling for anxiety symptoms at time one. These findings suggest that enhanced performance monitoring may render individuals more susceptible to the adverse effects of interpersonal stress, thereby increasing risk for heightened anxiety."
A Neurobehavioral Mechanism Linking Behaviorally Inhibited Temperament and Later Adolescent Social Anxiety,[],"Objective:                         Behavioral inhibition (BI) is a temperament identified in early childhood that is a risk factor for later social anxiety. However, mechanisms underlying the development of social anxiety remain unclear. To better understand the emergence of social anxiety, longitudinal studies investigating changes at behavioral neural levels are needed."
Neural responses to reward in childhood: relations to early behavioral inhibition and social anxiety,[],"Behavioral inhibition (BI) is an early temperamental profile characterized by negative reactivity to novelty, withdrawal from social situations, and increased risk for social anxiety. Previous research associated BI assessed in early childhood to striatal hypersensitivity in mid-to-late adolescence. The present study examined this association among 10 year-olds, characterized with BI at ages 24 and 36 months on measures of temperamental reactivity. Participants (n = 40) were studied at age 10 using a reward processing task during functional magnetic resonance imaging (fMRI). Child- and maternal-report of social anxiety symptoms was collected at ages 10 and 13. Findings indicate greater caudate activation and stronger striatal connectivity in high, compared to low, behaviorally inhibited children. Caudate activation related to social anxiety symptoms at both ages. These findings suggest that enhanced striatal responsivity reliably manifests among high behaviorally inhibited children as early as age 10. This may reflect hyper-sensitivity to reward or excessive motivation to avoid errors."
Moderation of the relationship between the error-related negativity and anxiety by age and gender in young children: A preliminary investigation,[],"The error-related negativity (ERN) is a neurophysiologic response to errors that associates with anxiety. Despite the potential relevance of the ERN for understanding mechanisms of early anxiety problems in the developing brain, the relation between ERN and anxious symptoms in young children remains poorly understood. Emerging evidence suggests that ERN-anxiety associations could vary by developmental stage, but this work requires replication and consideration of gender effects, given earlier maturation of the ERN and higher rates of anxiety problems in girls relative to boys. To address this gap, the ERN was collected in 49 preschool- to school-aged children (ages 4-9; 26 girls) sampled across a wide range of anxiety severity. Regression analyses revealed that ERN - anxiety associations depended on age and gender. Specifically, larger (more negative) ERN associated with more anxiety in older girls, whereas smaller ERN associated with more anxiety symptoms in younger girls. No ERN-anxiety association was found in boys. These findings suggest that age and gender moderate the direction of the relation between ERN and anxiety in early childhood and could have important implications for the development of ERN-based risk identification and targeted treatment strategies tailored to individual children."
Anxiety and feedback negativity,[],"It has been suggested that anxious individuals are more prone to feel that negative outcomes are particularly extreme and to interpret ambiguous outcomes as negative compared to nonanxious individuals. Previous studies have demonstrated that the feedback negativity (FN) component of event-related brain potential (ERP) is sensitive to outcome evaluation and outcome expectancy. Hence, we predicted that the FN should be different between high trait-anxiety (HTA) and low trait-anxiety (LTA) individuals. To test our hypothesis, the ERPs were recorded during a simple monetary gambling task. The FN was measured as a difference wave created across conditions. We found that the amplitude of the FN indicating negative versus positive outcomes was significantly larger for LTA individuals compared to HTA individuals. However, there was no significant difference in the FN between groups in response to ambiguous versus positive outcomes. The results indicate that there is a relationship between the FN and individual differences in anxiety. We suggest that these results reflect the impact of anxiety on outcome expectation. Our results challenge the reinforcement learning theory of error-related negativity, which proposes that ERN and FN reflect the same cognitive process."
"Assessment of the Depression, Anxiety, and Stress Scale (DASS-21) in untreated obstructive sleep apnea (OSA)",[],"The assessment of depression in obstructive sleep apnea (OSA) is confounded by symptom overlap. The Depression, Anxiety, and Stress Scale-short form (DASS-21) is a commonly used measure of negative affect, but it not known whether the DASS-21 is suitable for use in an OSA sample. This study compared the fit of Lovibond and Lovibond's (1995) correlated 3-factor structure of the DASS-21 and measurement invariance between a non-OSA and an OSA sample using confirmatory factor analysis. As measurement invariance was not found, to determine the source of non-invariance differential item functioning (DIF) was examined using dMACS. The correlated 3-factor structure (with correlated errors) of the DASS-21 was a better fit in the non-OSA sample. dMACS indicated that there was a degree of DIF for each of the subscales, especially for the Anxiety subscale, in which 2 symptoms (that are also physiological symptoms of OSA) produced lower severity scores in the OSA sample compared with the non-OSA sample. However, the degree of DIF for each of the subscales is not sufficient to cause concern when using the DASS-21; therefore, the total DASS-21 is suitable for use in an OSA sample. Interestingly, the impact of symptom overlap in anxiety symptoms may be reducing anxiety scores because of DIF, which contrasts with the proposed effect of symptom overlap in depression, where it leads to the inflation of depression scores in OSA. This deserves greater consideration in relation to OSA and other clinical disorders or chronic illness conditions with different patterns of overlapping symptoms. (PsycINFO Database Record"
Electrophysiological correlates of performance monitoring under social observation in patients with social anxiety disorder and healthy controls,[],"Previous research suggests that electrophysiological correlates of performance monitoring, in particular the error-related negativity (ERN), vary according to psychopathology and context factors. The present study examined the effect of social context on behavioral and electrophysiological correlates of performance monitoring in healthy adult subjects and in patients with social anxiety disorder (SAD). Participants performed two runs of a Go/NoGo flanker task in different social conditions: in the observation condition, they were observed by a confederate while performing the task, whereas there was no observation in the control condition. Behavioral data showed that accuracy and response times were not modulated by social observation and also did not systematically differ between groups. Post-error slowing was more pronounced in patients, independent of observation condition. ERN amplitudes were generally increased under social observation as compared to the control condition regardless of group (patients, controls). No effects of social context or group were found for PE, NoGo-N2, and NoGo-P3. Exploratory analysis revealed a late sustained parietal negativity to errors in patients as compared to controls. Taken together, the present findings emphasize the importance of social context for the processes underlying performance monitoring. However, the notion of altered error monitoring reflected in an altered ERN in SAD is not supported by our data."
The effect of trial-to-trial feedback on the error-related negativity and its relationship with anxiety,[],"Individuals with anxiety disorders and related personality traits are characterized by increased error-related brain activity, as measured by the error-related negativity (ERN) in simple speeded response tasks. An absent, or opposite, relation between anxiety and the ERN has been reported in studies that employed reinforcement learning paradigms with trial-to-trial feedback. Understanding the effect of trial-to-trial feedback on the ERN may help clarify these results and can further elucidate the impact of feedback on performance monitoring. In the present study, 30 undergraduate participants performed two versions of the arrowhead version of the flanker task in counterbalanced order: one with trial-to-trial feedback and one without. The participants were slower and more accurate in the task with trial-to-trial feedback; however, the ERN was equivalent between the two tasks. Larger ERNs were related to higher trait anxiety, but only in the version without trial-to-trial feedback. These findings show that although trial-to-trial performance feedback impacts behavioral measures, it does not affect the ERN; moreover, the presence of trial-to-trial feedback moderates the relationship between the ERN and anxiety."
"Reducing premature infants' length of stay and improving parents' mental health outcomes with the Creating Opportunities for Parent Empowerment (COPE) neonatal intensive care unit program: a randomized, controlled trial",[],"Objective:                         Although low birth weight premature infants and parents are at high risk for adverse health outcomes, there is a paucity of studies that test early NICU interventions with parents to prevent the development of negative parent-infant interaction trajectories and to reduce hospital length of stay. Our objective was to evaluate the efficacy of an educational-behavioral intervention program (ie, Creating Opportunities for Parent Empowerment) that was designed to enhance parent-infant interactions and parent mental health outcomes for the ultimate purpose of improving child developmental and behavior outcomes."
"ERN, theta power, and risk for anxiety problems in preschoolers",[],"The Error Related Negativity (ERN) is a neural marker of performance monitoring that has been inconsistently linked to anxiety risk in children. One avenue for understanding inconsistencies is to investigate other neural dynamics linked to ERN. In this study, we investigated interactions between ERN and power in the theta frequency band, which is associated with attentional control and theorized to contribute ERN, in association with childhood anxiety risk. Fifty-nine 3-year-old children provided usable EEG data during a modified go/no-go task. Associations between ERN and anxious behaviors in preschoolers were moderated by theta power during incorrect trials. Specifically, when theta power was low, greater ERN predicted more social withdrawal; when theta power was high, ERN and social withdrawal were unrelated. Our findings suggest that ERN and theta may jointly contribute to anxiety risk in early childhood."
"Intolerance of uncertainty, depression and the error-related negativity",[],"Prior work has yielded contradictory findings regarding the association between depression and the error-related negativity (ERN), an event-related potential thought to reflect individual variation in sensitivity to internal threat (i.e., errors), and the error positivity (Pe), which is thought to reflect more elaborative, conscious processing of errors. One possibility is that variation in transdiagnostic dimensional constructs related to threat processing might help explain inconsistencies in the relationship between depression and the ERN and Pe. Here, we used a large, unselected sample (N = 100) to determine whether variation in intolerance of uncertainty (IU), a transdiagnostic trait dimension that is implicated in both depression and anxiety, might moderate associations between depressive symptomatology and error processing. Results showed that greater levels of depressive symptomatology were associated with larger ΔERNs (error minus correct trials) when IU was low, but were unrelated to ΔERN when IU was high; main effects of depression and IU on ΔERN were not observed. The Pe was not associated with IU or depression. Additionally, IU, but not depression, was associated with faster response times on error and correct trials. Overall, results suggest that error processing may differ for individuals with elevated depression with versus without elevated IU. Moreover, prior failures to observe associations between depression and the ERN might stem from failure to account for related transdiagnostic constructs."
The error-related negativity for error processing in interoception,[],"The error-related negativity (ERN) is an event-related potential in the electroencephalogram (EEG) observed within the first 100 ms after commission of an error. Increased ERN amplitudes have been observed in several psychological disorders characterized by high negative affect. While the ERN has extensively been studied in tasks using exteroceptive stimuli, its relation to interoceptive stimuli is unknown. Since errors related to interoception might be particularly relevant for survival and negative affect, this study aimed to explore the ERN for errors related to interoceptive, respiratory sensations (intERN). Moreover, we compared the intERN with a commonly observed ERN related to exteroceptive, visual stimuli (extERN) and examined their associations with interoception-related negative affect. We studied the ERN using a respiratory occlusion task (intERN) and a visual flanker task (extERN) in 40 healthy volunteers during continuous 129 channel EEG recordings. In the occlusion task, participants received inspiratory occlusions of two different durations and indicated whether each occlusion was short or long. In the Flanker task, participants indicated the direction of arrowheads. Interoception-related negative affect was assessed with the Anxiety Sensitivity Index. Comparable with the extERN, the intERN was observed at fronto-central scalp positions after error commission in the occlusion task, but it peaked significantly earlier than the extERN. Mean amplitudes of the intERN and extERN showed no significant difference and were not correlated. Moreover, higher levels of anxiety sensitivity were correlated with significantly greater amplitudes of the intERN, but with lower amplitudes of the extERN. The present results firstly demonstrate an error-related negativity EEG-potential that is related to interoceptive sensations (intERN). This intERN is not associated with a commonly observed ERN elicited by exteroceptive stimuli and is distinctly linked to higher levels of interoception-related negative affect. The intERN might be a promising neural marker for future studies on interoception, negative affect and error processing."
Discrete electrocortical predictors of anxiety and anxiety-related treatment response in youth with autism spectrum disorder,[],"There are two established electroencephalogram (EEG) indices that putatively relate to anxiety symptoms: a) the error-related negativity (ERN), which reflects endogenous threat sensitivity, and b) resting-state EEG relative right frontal activity (rRFA), which relates to approach/withdrawal motivation. We examined these indices conjointly to better elucidate differential mechanisms underlying the common anxiety phenotype in youth with autism spectrum disorder (ASD), in relation to subjective reports of symptomatology and treatment response. EEG was recorded from 53 youth with ASD who participated in a 10-week social skills intervention (SSI). More negative ERN related to higher self-reported social anxiety symptoms at baseline, and predicted improvements in self-reported social anxiety symptoms following SSI. Although rRFA did not relate to anxiety symptoms at baseline, more rRFA predicted improvement in parent-reported anxiety domains but worsening in self-reported anxiety symptoms. This study provides evidence for unique neural mechanisms of anxiety symptoms and changes in anxiety after SSI in youth with ASD."
Advancing clinical neuroscience through enhanced tools: Pediatric social anxiety as an example,[],"Background:                         Clinical researchers face challenges when trying to quantify diverse processes engaged during social interactions. We report results from two studies, each demonstrating the potential utility of tools for examining processes engaged during social interactions."
The role of hand of error and stimulus orientation in the relationship between worry and error-related brain activity: Implications for theory and practice,[],"Anxious apprehension/worry is associated with exaggerated error monitoring; however, the precise mechanisms underlying this relationship remain unclear. The current study tested the hypothesis that the worry-error monitoring relationship involves left-lateralized linguistic brain activity by examining the relationship between worry and error monitoring, indexed by the error-related negativity (ERN), as a function of hand of error (Experiment 1) and stimulus orientation (Experiment 2). Results revealed that worry was exclusively related to the ERN on right-handed errors committed by the linguistically dominant left hemisphere. Moreover, the right-hand ERN-worry relationship emerged only when stimuli were presented horizontally (known to activate verbal processes) but not vertically. Together, these findings suggest that the worry-ERN relationship involves left hemisphere verbal processing, elucidating a potential mechanism to explain error monitoring abnormalities in anxiety. Implications for theory and practice are discussed."
Evaluation of the Psychometric and Structural Properties of the Spanish Version of the Hospital Anxiety and Depression Scale in Latina Cancer Patients,[],"Context:                         The Hospital Anxiety and Depression Scale (HADS) is a brief self-report measure commonly used to screen for symptoms of anxiety and depression in cancer patients. The HADS has demonstrated validity in over 100 languages, including Spanish. However, validation studies have largely used European Spanish-speaking samples with a variety of medical diagnoses."
"Cognitive errors, anxiety sensitivity, and anxiety control beliefs: their unique and specific associations with childhood anxiety symptoms",[],"This study examined the interrelations among negative cognitive errors, anxiety sensitivity, and anxiety control beliefs and explored their unique and specific associations with anxiety symptoms in a community sample of youth. Existing research has suggested that these constructs are related to childhood anxiety disorder symptoms; however, additional research is needed to test the interrelations among negative cognitive errors, anxiety sensitivity, and anxiety control beliefs and to determine if they show unique and specific associations with anxiety symptoms. The results of this study indicated that negative cognitive errors, anxiety sensitivity, and anxiety control beliefs were associated with each other and that they demonstrated unique concurrent associations with childhood anxiety disorder symptoms. Moreover, certain cognitive biases showed specificity in their association with anxiety symptoms versus depressive symptoms."
Methodological choices in event-related potential (ERP) research and their impact on internal consistency reliability and individual differences: An examination of the error-related negativity (ERN) and anxiety,[],"Researchers in clinical psychophysiology make several methodological decisions during the analysis of event-related potentials (ERPs). In the current study, we review these choices from the perspective of individual differences. We focus on baseline period and reference scheme (i.e., average, mastoid, current source density), as well as choices regarding where (i.e., single electrode site vs. pooling of sites), when (i.e., area, area around peak), and how (i.e., subtraction- or regression-based difference scores) to quantify ERPs. To illustrate the impact of these analytic pathways on internal consistency reliability and individual differences, we focus on the error-related negativity (ERN) and anxiety-and present data from 2 samples: 1st, in adults with diagnosed generalized anxiety disorder (GAD); 2nd, in relation to continuous self-reported symptoms of GAD in a large community sample of female adolescents. Results generally indicated similar internal consistency and between-subjects effect sizes across all evaluated methods. Nonetheless, some patterns of variation emerged, such as that, across both data sets, difference-based ERN measures, especially with mastoid reference, yielded more robust associations with GAD diagnosis and symptoms, despite somewhat lower internal consistency. The current analyses suggest that the association between ERN and anxiety is robust across a range of commonly used methodological choices. The present study is an example of how systematic analyses of analytic strategies on measures of internal consistency and between-subjects variability could help inform individual-differences ERP research. (PsycINFO Database Record (c) 2019 APA, all rights reserved)."
A Diagnostic Biomarker for Pediatric Generalized Anxiety Disorder Using the Error-Related Negativity,[],"The error-related negativity (ERN) is a negative deflection in the event-related potential following a mistake that is a putative biomarker of anxiety. The study assessed the ERN as a diagnostic biomarker using receiver operating characteristic (ROC) analyses in 96 cases with anxiety disorders (AD) and 96 matched healthy controls (HC) ages 8 to 18 years. Forty-one cases had generalized anxiety disorder (GAD); 55 cases had other anxiety disorders (OAD) without GAD. ERN amplitude was significantly increased in AD cases compared to HC. The area under the curve (AUC) in the ROC analysis was 0.64, indicating the ERN is an inadequate diagnostic test for AD altogether. The ERN was significantly increased in cases with either GAD or OAD compared to HC. The AUC in ROC analyses with GAD and OAD was 0.75 and 0.56, respectively, suggesting the ERN provides an adequate diagnostic test for GAD but not for OAD."
Rumination is associated with diminished performance monitoring,[],"Rumination is a construct that cuts across a variety of disorders, including anxiety and depression. It has been associated with deficits in cognitive control thought to confer risk for psychopathology. One aspect of cognitive control that is especially relevant to the content of ruminative thoughts is error processing. We examined the relation of rumination and 2 electrophysiological indices of error processing, error-related negativity (ERN), an early index of error detection, and error positivity (Pe), a later index of error awareness. Consistent with prior work, ERN was negatively correlated with anxiety (i.e., more anxious individuals were characterized by larger ERNs). After controlling for anxiety, rumination-but not worry-predicted ERN attenuation. No significant relation between rumination and Pe emerged. Findings suggest that rumination may diminish resources early in the processes of performance monitoring and the recruitment of cognitive control. (PsycINFO Database Record"
Time-Frequency Delta Activity to Social Feedback Demonstrates Differential Associations With Depression and Social Anxiety Symptoms,[],"Social feedback is highly salient and particularly relevant when investigating the pathophysiology of depression and social anxiety. A bourgeoning body of research has demonstrated an association between reward-related delta activity and psychopathology. However, a critical limitation is that these findings are derived from neural responses to monetary feedback, and time-frequency representation of social feedback remains unexplored. In addition, no study has isolated the differential/unique associations of positive valence and the intrinsic rewarding experience of being correct with reward-related neural activity. In the present study, 204 participants underwent electroencephalography (EEG) while they completed a novel paradigm comprised of monetary and social feedback tasks that were matched in trial structure, timing, and feedback stimuli. For each task, participants were instructed to correctly identify one of two doors that would provide positive feedback (monetary win behind the door) or one of two peers who would provide positive feedback (social like); or to correctly identify the door or peer that would provide negative feedback (money loss behind the door/social dislike). A principal component analysis (PCA) was conducted on the time-frequency data and revealed two factors in the delta and one factor in the theta frequency ranges. Results indicated that the lower-frequency delta factor (delta-low) was greater to correct vs. incorrect feedback, more so for social vs. monetary tasks, while the higher-frequency delta factor (delta-high) was greater to correct vs. incorrect feedback for social like, social dislike, and monetary win tasks, but not the monetary loss task. In contrast, the theta factor was greater to incorrect relative to correct feedback in negative valence (lose money/social dislike) but not positive valence (win money/social like) tasks. Furthermore, greater delta-high activity for social feedback was associated with greater social anxiety symptoms, whereas lesser delta-high activity for social feedback was associated with greater depressive symptoms. Finally, greater theta activity to monetary feedback was associated with greater depressive symptoms. The present study provides novel evidence demonstrating unique social vs. monetary feedback-related delta and theta activity, and differential associations between delta activity with depression and social anxiety symptoms. These findings highlight the importance of investigating feedback-related neural responses in the social domain."
"Stressors and anxiety in dementia caregiving: multiple mediation analysis of rumination, experiential avoidance, and leisure",[],"Background:                         Despite the robust associations between stressors and anxiety in dementia caregiving, there is a lack of research examining which factors contribute to explain this relationship. This study was designed to test a multiple mediation model of behavioral and psychological symptoms of dementia (BPSD) and anxiety that proposes higher levels of rumination and experiential avoidance and lower levels of leisure satisfaction as potential mediating variables."
"An Examination of Feedback Seeking in Individuals With Social Anxiety Disorder, Generalized Anxiety Disorder, or No History of Mental Disorder Using a Daily Diary Method",[],"This study examined excessive reassurance seeking (or positive feedback seeking; PFS) and negative feedback seeking (NFS) in individuals with social anxiety disorder (SAD), generalized anxiety disorder (GAD), or no history of mental health difficulties. A 2-week daily diary method was used to examine potential group differences in the frequency, topics, and targets of PFS and NFS. The SAD and GAD groups reported significantly higher feedback seeking (FS) than the healthy group on self-report questionnaires. The most common targets of FS in each group were other people (e.g., romantic partner, family members). According to diary data, there were no significant group differences in the frequency of PFS, NFS, overall FS, or overall FS adjusted for self-reported compliance with diary completion (after applying Bonferroni correction). There were also no significant group differences in FS topics according to diary data. Future research directions and potential implications of these findings are discussed."
A Diffusion Model Analysis of Magnitude Comparison in Children with and without Dyscalculia: Care of Response and Ability Are Related to Both Mathematical Achievement and Stimuli,[],"The respective roles of the approximate number system (ANS) and an access deficit (AD) in developmental dyscalculia (DD) are not well-known. Most studies rely on response times (RTs) or accuracy (error rates) separately. We analyzed the results of two samples of elementary school children in symbolic magnitude comparison (MC) and non-symbolic MC using a diffusion model. This approach uses the joint distribution of both RTs and accuracy in order to synthesize measures closer to ability and response caution or response conservatism. The latter can be understood in the context of the speed-accuracy tradeoff: It expresses how much a subject trades in speed for improved accuracy. We found significant effects of DD on both ability (negative) and response caution (positive) in MC tasks and a negative interaction of DD with symbolic task material on ability. These results support that DD subjects suffer from both an impaired ANS and an AD and in particular support that slower RTs of children with DD are indeed related to impaired processing of numerical information. An interaction effect of symbolic task material and DD (low mathematical ability) on response caution could not be refuted. However, in a sample more representative of the general population we found a negative association of mathematical ability and response caution in symbolic but not in non-symbolic task material. The observed differences in response behavior highlight the importance of accounting for response caution in the analysis of MC tasks. The results as a whole present a good example of the benefits of a diffusion model analysis."
Positive and negative life events and personality traits in predicting course of depression and anxiety,[],Objective:                         To examine the prognostic value of personality dimensions and negative and positive life events for diagnostic and symptom course trajectories in depressive and anxiety disorder.
Frontal alpha asymmetry moderates the relations between behavioral inhibition and social-effect ERN,[],"Behavioral inhibition (BI) is an early temperamental precursor of anxiety disorders, characterized by withdrawal from novel situations. Some but not all young children with BI go on to display anxiety disorders. Neural correlates, such as frontal alpha asymmetry or event-related negativity (ERN), could moderate the relations between early BI and later anxiety. The goal of this longitudinal study was to test frontal alpha asymmetry as a potential moderator of the relation between BI and later anxiety, and of the relation between BI and the social-effect ERN. 100 children were assessed for BI at ages 2 and 3, and we collected EEG during resting state and the social Flanker task at age 12. Frontal alpha asymmetry did not correlate with BI or anxiety, nor did it moderate the relation between early BI and later anxiety. However, frontal alpha asymmetry did moderate the relation between BI and the social-effect ERN. This suggests that, in adolescents who previously manifested BI, a pattern of resting EEG associated with avoidance predicts hypersensitivity to errors in a social context."
The NIMH Research Domain Criteria initiative and error-related brain activity,[],"Research on the neural response to errors has an important role in the Research Domain Criteria (RDoC) project, since it is likely to link psychopathology to the dysfunction of neural systems underlying basic behavioral functions, with the error-related negativity (ERN) appearing as a unit of measurement in three RDoC domains. A recent report builds on previous research by examining the ERN as a measure of the sustained threat construct and providing evidence that the ERN may reflect sensitivity more specifically to endogenous threat. Data from 515 adolescent females indicate that the ERN was enlarged primarily in older adolescents with self-reported checking behaviors, although it was blunted in adolescents with depressive symptoms regardless of age. Potential future studies for replicating and extending the research on the ERN and obsessive-compulsive (OC) behaviors are discussed, including studies that more fully characterize OC symptom dimensions, studies that integrate other measures of error-related brain activity and use computational modeling, studies that combine longitudinal, family, and molecular genetic measures, and interventional studies that specifically modulate error-related brain activity in individuals with OC behaviors."
